id,subject,topic_id,stem,optionA,optionB,optionC,optionD,answer,solution_rationale,citations,qa_status
1,Mathematics,MATH_CN_01,"What is the value of i^2?","1","-1","i","-i","B","By definition, i^2 = -1","MATH_CN_01",PASS
2,Mathematics,MATH_CN_01,"Which of the following is a pure imaginary number?","3","3i","3+2i","0","B","A pure imaginary number is bi where b≠0; 3i fits","MATH_CN_01",PASS
3,Mathematics,MATH_CN_02,"What is (4i)^2 equal to?","16","16i","-16","-4i","C","(4i)^2 = 16i^2 = 16(-1) = -16","MATH_CN_02",PASS
4,Mathematics,MATH_CN_02,"Simplify sqrt(-25)","5i","-5","5","-5i","A","sqrt(-25) = i sqrt(25) = 5i","MATH_CN_02",PASS
5,Mathematics,MATH_CN_03,"Simplify sqrt(-32)","4 sqrt(2) i","8 i","4 i","2 sqrt(2) i","A","sqrt(-32) = i sqrt(32) = i sqrt(16*2) = 4 i sqrt(2)","MATH_CN_03",PASS
6,Mathematics,MATH_CN_04,"Identify the real part of 7 - 3i","7","-3","3","-7","A","The real part of a+bi is a; here a=7","MATH_CN_04",PASS
7,Mathematics,MATH_CN_04,"Multiply -2 by (5+3i)","-10-6i","-10+6i","10-6i","10+6i","A","Distribute: -2*5 + -2*3i = -10 -6i","MATH_CN_04",PASS
8,Mathematics,MATH_CN_04,"Plot 2+4i in the complex plane","(2,4)","(4,2)","(-2,4)","(2,-4)","A","Complex number a+bi corresponds to point (a,b)","MATH_CN_04",PASS
9,Mathematics,MATH_MAT_01,"What is an augmented matrix?","A matrix with extra row","A shorthand for a linear system","A matrix with all zeros","A square matrix only","B","Augmented matrices represent a system of equations without variable symbols","MATH_MAT_01",PASS
10,Mathematics,MATH_MAT_01,"Convert system 1x+2y=3; 4x+5y=6 to augmented matrix","[[1 2 3],[4 5 6]]","[[1 2 :3],[4 5 :6]]","[[1 2;3],[4 5;6]]","[[1,2,3,4,5,6]]","B","Each row is equation, each column a variable or constant","MATH_MAT_01",PASS
11,Mathematics,MATH_MAT_02,"After swapping rows R1<->R2, what happens?","Equations change","System becomes invalid","Rows interchanged, system equivalent","Columns swap","C","Row swap interchanges equations; system remains equivalent","MATH_MAT_02",PASS
12,Mathematics,MATH_MAT_03,"Multiply row R2 by 3: 3R2->R2 for [ [2 1],[3 4] ] gives?","[[2 1],[9 12]]","[[6 3],[3 4]]","[[2 1],[3 4]]","[[6 3],[9 12]]","A","Each element in R2 multiplied by 3","MATH_MAT_03",PASS
13,Mathematics,MATH_MAT_03,"Add R1 to R2: R1+R2->R2 for [[1 2],[3 4]]","[[1 2],[4 6]]","[[1 2],[3 4]]","[[4 6],[3 4]]","[[1 2],[1 2]]","A","Add corresponding elements: 3+1=4, 4+2=6","MATH_MAT_03",PASS
14,Mathematics,MATH_MAT_04,"C=AB entry c_1,2 = ? A=[[1 7],[2 4]], B=[[3 3],[5 2]]","17","19","15","13","A","Dot product of first row of A and second column of B: 1*3+7*2=17","MATH_MAT_04",PASS
15,Mathematics,MATH_MAT_04,"Matrix multiplication dimension rule (m×n)·(n×k) results in?","(m×k)","(n×k)","(m×n)","(k×m)","A","Dimensions match: result is (m×k)","MATH_MAT_04",PASS
16,Mathematics,MATH_MAT_04,"Is matrix multiplication commutative?","Yes","No","Sometimes","Only for identity","B","In general AB ≠ BA","MATH_MAT_04",PASS
17,Mathematics,MATH_QD_01,"Solve x^2 = 49","x=±7","x=7 only","x=-7 only","x=0","A","Take square roots: x = ±7","MATH_QD_01",PASS
18,Mathematics,MATH_QD_01,"Solve (x-3)^2=16","x=7 or -1","x=3 or 16","x=4 or -4","x=-3 or 4","A","x-3=±4 → x=7,-1","MATH_QD_01",PASS
19,Mathematics,MATH_QD_02,"Solve 2x^2 - 8 = 0","x=±2","x=2 only","x=-2 only","x=0","A","2x^2=8 → x^2=4 → x=±2","MATH_QD_02",PASS
20,Mathematics,MATH_QD_02,"Factor x^2 + 5x + 6","(x+2)(x+3)","(x+1)(x+6)","(x+3)(x+2)","(x+2)(x+4)","A","Find two numbers multiplying to 6, adding to 5 → 2,3","MATH_QD_02",PASS
21,Mathematics,MATH_QD_03,"Factor x^2 - 16","(x+4)(x-4)","(x+8)(x-2)","(x-4)^2","(x+2)(x+8)","A","Difference of squares: a^2-b^2=(a+b)(a-b)","MATH_QD_03",PASS
22,Mathematics,MATH_QD_03,"Solve (x-1)(x+3)=0","x=1 or x=-3","x=-1 or x=3","x=0 or 4","x=-1 or -3","A","Set each factor to zero","MATH_QD_03",PASS
23,Mathematics,MATH_QD_03,"Factor 2x^2+11x+12 by grouping","(2x+3)(x+4)","(2x+4)(x+3)","(x+2)(2x+6)","(2x+6)(x+2)","A","Group terms: 2x^2+8x+3x+12 → (2x+3)(x+4)","MATH_QD_03",PASS
24,Mathematics,MATH_QD_04,"Quadratic formula for ax^2+bx+c=0","x=(-b±√(b^2-4ac))/(2a)","x=(b±√(b^2-4ac))/(2a)","x=(-b±√(b^2+4ac))/(2a)","x=(-b±√(b^2-2ac))/(a)","A","Derived from completing the square","MATH_QD_04",PASS
25,Mathematics,MATH_QD_04,"Solve x^2 - 6x + 8=0 using formula","x=2 or 4","x=1 or 8","x=-2 or -4","x=2 only","A","x=[6±√(36-32)]/2 → x=2,4","MATH_QD_04",PASS
26,Mathematics,MATH_QD_04,"Completing the square: x^2 + 4x + ? = (x+2)^2","4","2","0","8","A","Add (b/2)^2=(4/2)^2=4","MATH_QD_04",PASS
27,Mathematics,MATH_CN_01,"Which equation shows i is a solution?","x^2+1=0","x^2-1=0","x^2+4=0","x^2-4=0","A","i^2=-1 → i solves x^2+1=0","MATH_CN_01",PASS
28,Mathematics,MATH_CN_03,"Simplify sqrt(-50)","5 i sqrt(2)","10i","sqrt(50)","-5i","A","sqrt(-50)=i sqrt(50)=i sqrt(25*2)=5 i sqrt(2)","MATH_CN_03",PASS
29,Mathematics,MATH_MAT_04,"Identity matrix I_2 multiplied by [[2 3],[4 5]] equals?","[[2 3],[4 5]]","[[1 0],[0 1]]","[[0 1],[1 0]]","[[3 2],[5 4]]","A","A·I = A","MATH_MAT_04",PASS
30,Mathematics,MATH_QD_02,"Solve 3x^2 - 7 = 5","x=±2","x=2","x=-2","x=0","A","3x^2=12 → x^2=4 → x=±2","MATH_QD_02",PASS
