Subject,Class,Unit,Theme,Sub-Theme,File_Path,Book_Section_Heading,Subtopic,Summary
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Strategies for vocabulary-in-context questions,Methods to determine word meanings using surrounding context.
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Plugging in your own word technique,Technique of inserting a guessed word to check if it fits contextually.
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Plugging each answer choice into sentence,Testing all options in the sentence to see which best fits.
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Playing positive/negative with vocabulary questions,Analyzing how word tone or connotation affects meaning.
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Second meanings of common words,Understanding words with multiple meanings and selecting the correct one.
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Common second meanings list,List of common secondary meanings for frequently tested words.
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Additional vocabulary words to know,Extra vocabulary words with explanations and examples.
SAT Reading,High School,Vocabulary in Context,Vocabulary,Contextual Meaning,data/english/the-complete-guide-to-sat-reading_compress.txt,Vocabulary in Context,Vocabulary in context exercises,Practice exercises applying vocabulary-in-context strategies.
SAT Reading,High School,Making the Leap: From Concrete to Abstract,Comprehension,Pronouns & Abstract Nouns,data/english/the-complete-guide-to-sat-reading_compress.txt,Making the Leap: From Concrete to Abstract,Understanding pronoun usage,Guidelines for correct pronoun usage and reference.
SAT Reading,High School,Making the Leap: From Concrete to Abstract,Comprehension,Pronouns & Abstract Nouns,data/english/the-complete-guide-to-sat-reading_compress.txt,Making the Leap: From Concrete to Abstract,Compression nouns and abstract references,Identifying abstract nouns and compressed references in sentences.
SAT Reading,High School,Making the Leap: From Concrete to Abstract,Comprehension,Pronouns & Abstract Nouns,data/english/the-complete-guide-to-sat-reading_compress.txt,Making the Leap: From Concrete to Abstract,The former and the latter usage,Rules and examples for using "the former" and "the latter".
SAT Reading,High School,Making the Leap: From Concrete to Abstract,Comprehension,Pronouns & Abstract Nouns,data/english/the-complete-guide-to-sat-reading_compress.txt,Making the Leap: From Concrete to Abstract,Pronoun and compression noun exercises,Practice exercises for pronoun and compressed noun use.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Identifying passage topics,Techniques to determine the main topic of a passage.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Determining main point vs. describing content,Differentiating between main ideas and supporting details.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Point of a paragraph analysis,Analyzing paragraphs to find their primary point.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Old idea vs. new idea framework,Distinguishing old information from new ideas to track argument.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Using old ideas to predict main point and attitude,Using prior content to anticipate main points and author attitude.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Fiction passages: identifying main point,Techniques for identifying central ideas in fiction passages.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Order of events in passages,Understanding chronological order to follow narrative structure.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Supporting examples: working backwards,Using examples to infer the main idea in reverse.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,Main point vs. primary purpose distinction,Differentiating main point from the author’s overall purpose.
SAT Reading,High School,The Big Picture,Comprehension,Main Ideas,data/english/the-complete-guide-to-sat-reading_compress.txt,The Big Picture,The big picture exercises,Practice exercises for main idea identification.
SAT Reading,High School,Supporting Evidence,Comprehension,Evidence & Claims,data/english/the-complete-guide-to-sat-reading_compress.txt,Supporting Evidence,Supporting and contradicting claims,Identifying claims that are supported or contradicted by passage evidence.
SAT Reading,High School,Supporting Evidence,Comprehension,Evidence & Claims,data/english/the-complete-guide-to-sat-reading_compress.txt,Supporting Evidence,Supporting evidence question types,Types of questions that ask for evidence support.
SAT Reading,High School,Supporting Evidence,Comprehension,Evidence & Claims,data/english/the-complete-guide-to-sat-reading_compress.txt,Supporting Evidence,Supporting and contradicting claims exercises,Practice exercises to determine claim support.
SAT Reading,High School,Literal Comprehension,Comprehension,Literal Comprehension,data/english/the-complete-guide-to-sat-reading_compress.txt,Literal Comprehension,"Same idea, different words strategy",Recognizing identical meaning expressed differently.
SAT Reading,High School,Literal Comprehension,Comprehension,Literal Comprehension,data/english/the-complete-guide-to-sat-reading_compress.txt,Literal Comprehension,Other approaches to literal comprehension,Additional strategies to extract literal meaning from text.
SAT Reading,High School,Literal Comprehension,Comprehension,Literal Comprehension,data/english/the-complete-guide-to-sat-reading_compress.txt,Literal Comprehension,Using line references for educated guesses,Using line references to make informed answer choices.
SAT Reading,High School,Literal Comprehension,Comprehension,Literal Comprehension,data/english/the-complete-guide-to-sat-reading_compress.txt,Literal Comprehension,Literal comprehension exercises,Practice exercises for literal comprehension skills.
SAT Reading,High School,Reasonable Inferences,Comprehension,Inference,data/english/the-complete-guide-to-sat-reading_compress.txt,Reasonable Inferences,Drawing reasonable inferences,Techniques to infer unstated information based on passage content.
SAT Reading,High School,Reasonable Inferences,Comprehension,Inference,data/english/the-complete-guide-to-sat-reading_compress.txt,Reasonable Inferences,Fallacies and incorrect answers in inference questions,Recognizing common pitfalls in inference questions.
SAT Reading,High School,Reasonable Inferences,Comprehension,Inference,data/english/the-complete-guide-to-sat-reading_compress.txt,Reasonable Inferences,Unstated assumptions,Identifying implied assumptions not explicitly stated.
SAT Reading,High School,Reasonable Inferences,Comprehension,Inference,data/english/the-complete-guide-to-sat-reading_compress.txt,Reasonable Inferences,Inference exercises,Practice exercises for inference skills.
SAT Reading,High School,Extended Reasoning and Analogies,Comprehension,Extended Reasoning,data/english/the-complete-guide-to-sat-reading_compress.txt,Extended Reasoning and Analogies,Extended reasoning questions,Practice questions requiring deeper logical reasoning.
SAT Reading,High School,Extended Reasoning and Analogies,Comprehension,Extended Reasoning,data/english/the-complete-guide-to-sat-reading_compress.txt,Extended Reasoning and Analogies,Analogy questions,Techniques for solving analogy-based reading questions.
SAT Reading,High School,Extended Reasoning and Analogies,Comprehension,Extended Reasoning,data/english/the-complete-guide-to-sat-reading_compress.txt,Extended Reasoning and Analogies,Extended reasoning and analogy exercises,Practice exercises combining reasoning and analogical thinking.
SAT Reading,High School,Reading for Function,Rhetorical Analysis,Function Questions,data/english/the-complete-guide-to-sat-reading_compress.txt,Reading for Function,Types of function questions,Overview of questions assessing rhetorical function.
